configuration_id,component_count,components,system_voltage_v,analysis_period_min,active_duration_min,sleep_duration_min,peak_duration_min,avg_active_current_ma,avg_sleep_current_ma,avg_peak_current_ma,calculated_energy_mwh,target_energy_mwh
1,1,nRF24L01+,3.3,360,188.0024,159.445,12.5526,11.3,0.0009,13.5,126.1717,121.248392
2,2,HC-SR04 + BME280,4.15,720,347.2815,368.1064,4.6121,7.5,0.0,0.0,434.101831,426.695672
3,3,DHT22 / AM2302 + Raspberry Pi Pico + INA219,3.3,120,35.2653,83.3712,1.3634,0.833333,0.433333,0.833333,10.997499,11.078606
4,4,SSD1306 OLED controller + HC-05 + BME280 + ESP32,3.3,720,176.3923,508.6626,34.9451,13.47,0.004535,60.0,984.504086,981.461388
5,3,Raspberry Pi Pico + HC-05 + INA219,3.3,120,16.1831,99.7186,4.0983,10.0,0.433333,0.0,33.832006,35.28113
6,1,MPU6050,3.3,1440,330.0537,1083.2732,26.6731,3.9,0.01,0.0,71.392315,72.271839
7,4,HC-05 + ESP32-S3 + Raspberry Pi Pico + BMP280,3.3,360,104.5561,240.4557,14.9882,30.425685,0.326775,88.759213,1009.823488,986.169481
8,3,DHT22 / AM2302 + ESP32-S3 + nRF24L01+,3.3,720,189.4414,520.1788,10.3798,35.166667,0.002633,123.666667,1311.260021,1334.113415
9,3,nRF24L01+ + ESP32-S3 + Raspberry Pi Pico,3.3,720,299.2809,395.3331,25.386,34.333333,0.435967,122.833333,2238.374425,2224.063548
10,4,MPU6050 + HC-SR04 + HC-SR501 + BMP280,3.3,30,12.5286,16.7647,0.7066,20.975685,0.002525,0.009213,63.150759,61.025269
11,1,nRF24L01+,3.3,360,127.6087,222.3255,10.0657,11.3,0.0009,13.5,86.793629,88.170779
12,3,HC-SR04 + MPU6050 + ESP32,3.3,60,16.4814,40.9583,2.5602,14.26,0.006047,80.0,79.619433,77.814799
13,4,ESP32 + Arduino Uno / ATmega328P + INA219 + nRF24L01+,3.3,30,14.4343,14.5692,0.9965,8.795,0.00226,63.375,41.829498,41.570702
14,3,nRF24L01+ + DHT22 / AM2302 + MPU6050,3.3,30,2.9858,25.9307,1.0835,5.9,0.003633,5.333333,3.875726,3.913473
15,3,SSD1306 OLED controller + Raspberry Pi Pico + HC-SR04,4.15,120,35.4463,82.2676,2.2861,5.0,0.436667,0.0,51.750365,51.312248
16,3,HC-SR501 + DS18B20 + INA219,4.15,30,3.4471,25.1101,1.4428,22.0,0.00025,0.5,15.966759,16.094421
17,2,BMP280 + DS18B20,4.15,720,344.3854,349.8066,25.808,0.50137,0.000425,0.768425,32.052778,31.454277
18,4,BME280 + HC-SR501 + ESP32-S3 + Arduino Uno / ATmega328P,3.3,120,19.356,98.8083,1.8357,39.175,0.00175,88.75,202.700391,203.664173
19,3,SSD1306 OLED controller + BMP280 + Raspberry Pi Pico,3.3,120,34.5181,81.718,3.7639,0.000913,0.4367,0.012283,5.901062,6.090106
20,3,BME280 + DS18B20 + ESP32-S3,3.3,120,8.7465,108.2895,2.9639,30.9,0.002583,118.833333,103.132007,104.854541
21,3,BME280 + DS18B20 + ESP32-S3,3.3,720,402.3476,296.7342,20.9182,30.9,0.002583,118.833333,2473.944356,2405.827458
22,1,DS18B20,5.0,360,22.5152,320.2308,17.2541,1.0,0.00075,1.5,4.053037,3.970713
23,2,ESP32 + HC-05,3.3,60,19.1933,37.9932,2.8135,26.94,0.00407,120.0,94.032454,92.17148
24,2,HC-SR04 + BME280,4.15,60,13.9418,44.4962,1.562,7.5,0.0,0.0,17.427221,17.213878
25,2,ESP32 + MPU6050,3.3,30,3.8141,25.3548,0.8311,13.89,0.00907,120.0,16.822791,16.259334
26,4,DHT22 / AM2302 + ESP32-S3 + HC-SR501 + HC-SR04,3.3,720,340.3844,375.7369,3.8787,43.55,0.00175,89.375,3482.295462,3447.521566
27,4,BME280 + Raspberry Pi Pico + Arduino Uno / ATmega328P + ESP32,3.3,60,29.6723,29.3763,0.9514,5.97,0.327035,60.0,53.643853,54.643317
28,4,HC-SR501 + Arduino Uno / ATmega328P + HC-SR04 + BME280,5.0,1440,202.3694,1234.397,3.2336,20.0,0.0,0.0,1349.129277,1316.059264
29,4,nRF24L01+ + ESP32-S3 + BME280 + SSD1306 OLED controller,3.3,60,20.1223,38.9299,0.9478,25.75,0.004475,92.125,133.240579,133.825192
