configuration_id,component_count,components,system_voltage_v,analysis_period_min,active_duration_min,sleep_duration_min,peak_duration_min,avg_active_current_ma,avg_sleep_current_ma,avg_peak_current_ma,calculated_energy_mwh,target_energy_mwh,component_profiles,anomaly_prediction,anomaly_score,anomaly_status
1,1,nRF24L01+,3.3,360,129.32019844576303,224.28936784602823,0.0,11.3,0.0009,0.0,80.39274397795283,78.29902830378245,"nRF24L01+:active=129.32,idle=6.39,sleep=224.29,peak=0.00",1,0.17384507461927046,NORMAL
2,2,HC-05 + nRF24L01+,3.3,720,457.07990599918514,136.11546654279695,0.0,25.08483155727556,0.0009,0.0,1281.838352705962,1283.53116631776,"HC-05:active=673.88,idle=46.12,sleep=0.00,peak=0.00 | nRF24L01+:active=240.28,idle=207.49,sleep=272.23,peak=0.00",1,0.17327623599288255,NORMAL
3,2,HC-SR501 + nRF24L01+,3.3,120,89.97056771692651,8.87177652468789,0.0,47.11171133806053,0.0009,0.0,466.3148048734846,465.8491810446909,"HC-SR501:active=120.00,idle=0.00,sleep=0.00,peak=0.00 | nRF24L01+:active=59.94,idle=42.32,sleep=17.74,peak=0.00",1,0.18175114524324898,NORMAL
4,1,Raspberry Pi Pico,3.3,720,0.0,720.0,0.0,0.0,1.3,0.0,51.48,52.73872856229879,"Raspberry Pi Pico:active=0.00,idle=0.00,sleep=720.00,peak=0.00",1,0.032436619513601994,NORMAL
5,2,SSD1306 OLED controller + HC-05,3.3,720,352.1153221582988,360.0,0.0,30.0,0.01,0.0,1169.315079623083,1178.967368954911,"SSD1306 OLED controller:active=0.00,idle=0.00,sleep=720.00,peak=0.00 | HC-05:active=704.23,idle=15.77,sleep=0.00,peak=0.00",1,0.16864295751721653,NORMAL
6,1,nRF24L01+,3.3,720,105.09191381834688,594.4552555144734,0.0,11.3,0.0008999999999999,0.0,65.37329752110462,64.30931738753843,"nRF24L01+:active=105.09,idle=20.45,sleep=594.46,peak=0.00",1,0.13764371583060636,NORMAL
7,1,HC-SR04,5.0,720,673.2282580792302,0.0,0.0,15.0,0.0,0.0,849.330612919166,835.0592006086342,"HC-SR04:active=673.23,idle=46.77,sleep=0.00,peak=0.00",1,0.09863599885127072,NORMAL
8,1,DHT22 / AM2302,3.3,60,60.0,0.0,0.0,2.5,0.0,0.0,8.25,8.372636938248569,"DHT22 / AM2302:active=60.00,idle=0.00,sleep=0.00,peak=0.00",1,0.20492480153696507,NORMAL
9,1,SSD1306 OLED controller,3.3,360,0.0,360.0,0.0,0.0,0.01,0.0,0.198,0.1953645815591368,"SSD1306 OLED controller:active=0.00,idle=0.00,sleep=360.00,peak=0.00",1,0.16413059891875242,NORMAL
10,3,MPU6050 + SSD1306 OLED controller + nRF24L01+,3.3,60,12.076318674249928,43.42505716251878,1.3115406291702307,6.875713128497701,0.0076555613155482,13.5,16.688597954499155,16.5819006663509,"MPU6050:active=21.66,idle=1.63,sleep=36.71,peak=0.00 | SSD1306 OLED controller:active=0.00,idle=0.00,sleep=60.00,peak=0.00 | nRF24L01+:active=14.57,idle=7.93,sleep=33.56,peak=3.93",1,0.11986084849322076,NORMAL
11,3,HC-SR04 + HC-SR501 + MPU6050,4.15,60,41.159506721655625,9.066443092146988,0.0,37.18045888656261,0.01,0.0,320.33923065424705,318.1936943969817,"HC-SR04:active=39.95,idle=20.05,sleep=0.00,peak=0.00 | HC-SR501:active=60.00,idle=0.00,sleep=0.00,peak=0.00 | MPU6050:active=23.53,idle=9.27,sleep=27.20,peak=0.00",1,0.14868649748728507,NORMAL
12,1,HC-SR501,3.3,360,360.0,0.0,0.0,65.0,0.0,0.0,1287.0,1302.0893628091878,"HC-SR501:active=360.00,idle=0.00,sleep=0.00,peak=0.00",1,0.1278759487117207,NORMAL
13,1,HC-SR501,3.3,720,720.0,0.0,0.0,65.0,0.0,0.0,2574.0,2556.04763328065,"HC-SR501:active=720.00,idle=0.00,sleep=0.00,peak=0.00",1,0.11107812936405026,NORMAL
14,2,DHT22 / AM2302 + BMP280,3.3,60,51.102716831149344,8.263638431970167,0.0,1.4687638172373316,0.0001,0.0,8.256458228967766,8.338553967295013,"DHT22 / AM2302:active=60.00,idle=0.00,sleep=0.00,peak=0.00 | BMP280:active=42.21,idle=1.27,sleep=16.53,peak=0.00",1,0.21398776433133154,NORMAL
